Employee No.,FROM,TO,Designation,Status,Annual Salary,Station/Place of Assignment,L/V and ABS Without Pay,Separation Cause/d
1120111,03/27/03,12/31/03,Disb. Officer II,Permanent," 104,508.00 ",Banaybanay National High School,,
1120111,01/01/04,03/26/06,Admin. Asst. II,Permanent," 104,508.00 ",Banaybanay National High School,,Reappointment
1120111,03/27/06,06/30/07,Admin. Asst. II,Permanent," 107,112.00 ",Banaybanay National High School,,Step 2
1120111,07/01/07,06/30/08,Admin. Asst. II,Permanent," 117,828.00 ",Banaybanay National High School,,NBC 511
1120111,07/01/08,03/26/09,Admin. Asst. II,Permanent," 129,612.00 ",Banaybanay National High School,,NBC 516
1120111,03/27/09,06/30/09,Admin. Asst. II,Permanent," 132,840.00 ",Banaybanay National High School,,Step 3
1120111,07/01/09,06/23/10,Admin. Asst. II,Permanent," 155,736.00 ",Banaybanay National High School,,NBC 521
1120111,06/24/10,05/31/11,Admin. Asst. II,Permanent," 169,320.00 ",Banaybanay National High School,,NBC 524
1120111,06/01/11,03/26/12,Admin. Asst. II,Permanent," 170,304.00 ",Banaybanay National High School,,NBC 530
1120111,03/27/12,05/31/12,Admin. Asst. II,Permanent," 172,500.00 ",Banaybanay National High School,,Step 4
1120111,06/01/12,06/02/13,Admin. Asst. II,Permanent," 184,608.00 ",Banaybanay National High School,,NBC 540
1120111,06/03/13,09/01/15,Admin. Asst. III,Permanent," 192,612.00 ",Banaybanay National High School,,Prom. to ADAS III Step 1
1120111,09/02/15,12/31/15,Administrative Officer IV,Permanent," 298,644.00 ",DepEd Schools Div. of Mati City,,Prom. to AO-IV Step 1
1120111,01/01/16,12/31/16,Administrative Officer IV,Permanent," 314,304.00 ",DepEd Schools Div. of Mati City,,NBC 562
1120111,01/01/17,12/31/17,Administrative Officer IV,Permanent," 330,780.00 ",DepEd Schools Div. of Mati City,,NBC 568
1120111,01/01/18,08/26/18,Administrative Officer IV,Permanent," 348,120.00 ",DepEd Schools Div. of Mati City,,NBC 572
1120111,08/26/18,12/31/18,Administrative Officer IV,Permanent," 352,308.00 ",DepEd Schools Div. of Mati City,,STEP 2
1120111,01/01/19,12/31/19,Administrative Officer IV,Permanent," 370,908.00 ",DepEd Schools Div. of Mati City,,NBC 575
1120111,01/01/20,12/31/20,Administrative Officer IV,Permanent," 389,172.00 ",DepEd Schools Div. of Mati City,,NBC 579
1120111,01/01/21,08/26/21,Administrative Officer IV,Permanent," 407,436.00 ",DepEd Schools Div. of Mati City,,NBC 584
1120111,08/27/21,12/31/21,Administrative Officer IV,Permanent," 412,032.00 ",DepEd Schools Div. of Mati City,,STEP 3
1120111,01/01/22,10/27/22,Administrative Officer IV,Permanent," 430,296.00 ",DepEd Schools Div. of Mati City,,NBC 588
1120111,10/28/22,Transferred to Schools Division of Davao Oriental,,,,,,
1120111,10/28/22,12/31/22,Administrative Officer V,Permanent," 542,436.00 ",DepEd Schools Div. of DVO. Oriental,,Prom. to AO-V Step 1
1120111,01/01/23,Present,Administrative Officer V,Permanent," 560,700.00 ",DepEd Schools Div. of DVO. Oriental,,NBC 591
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
